sample_id,geometry,building_area_m2,coverage_fraction,class,class_id
1807,POINT (1240011.739 7346613.975),0.0,0.0,Unoccupied,1
1827,POINT (1095051.45 7496244.648),0.0,0.0,Unoccupied,1
1829,POINT (1321507.941 7346804.42),0.0,0.0,Unoccupied,1
1857,POINT (1217205 7319154.844),2018.3567570369412,0.0007792919006006938,Rural,2
1859,POINT (969706.2385 7539403.783),0.0,0.0,Unoccupied,1
1867,POINT (1156245.119 7393071.537),0.0,0.0,Unoccupied,1
1873,POINT (1303524.641 7361233.073),0.0,0.0,Unoccupied,1
1878,POINT (1421875.76 7367605.606),0.0,0.0,Unoccupied,1
1891,POINT (1116672.181 7278044.629),0.0,0.0,Unoccupied,1
1899,POINT (1384901.383 7341093.282),0.0,0.0,Unoccupied,1
1920,POINT (1072459.814 7360925.338),0.0,0.0,Unoccupied,1
1928,POINT (1323550.123 7389948.381),0.0,0.0,Unoccupied,1
1930,POINT (1249505.521 7298184.748),0.0,0.0,Unoccupied,1
1939,POINT (1433513.338 7226597.151),0.0,0.0,Unoccupied,1
1947,POINT (1414856.855 7364399.006),0.0,0.0,Unoccupied,1
1959,POINT (1361542.854 7322271.825),0.0,0.0,Unoccupied,1
1981,POINT (1300917.972 7337043.377),0.0,0.0,Unoccupied,1
1983,POINT (1435888.723 7284786.76),0.0,0.0,Unoccupied,1
1993,POINT (1177035.142 7400320.716),0.0,0.0,Unoccupied,1
1996,POINT (909497.3121 7550375.302),0.0,0.0,Unoccupied,1
2003,POINT (1168276.06 7544939.18),0.0,0.0,Unoccupied,1
2013,POINT (1000805.616 7445482.106),0.0,0.0,Unoccupied,1
2025,POINT (1012800.54 7431256.634),0.0,0.0,Unoccupied,1
2030,POINT (1368285.169 7317961.901),0.0,0.0,Unoccupied,1
2048,POINT (1279732.358 7392471.196),0.0,0.0,Unoccupied,1
2051,POINT (1108504.781 7286423.8),0.0,0.0,Unoccupied,1
2057,POINT (1177829.632 7502427.345),0.0,0.0,Unoccupied,1
2060,POINT (1233136.744 7306704.081),0.0,0.0,Unoccupied,1
2079,POINT (1414101.671 7329561.022),0.0,0.0,Unoccupied,1
2088,POINT (950166.38 7543728.49),0.0,0.0,Unoccupied,1
2097,POINT (1132275.809 7405504.365),0.0,0.0,Unoccupied,1
2103,POINT (1292568.879 7382041.373),716.2518659829941,0.00027654639151608866,Rural,2
2113,POINT (1068455.293 7499796.48),0.0,0.0,Unoccupied,1
2116,POINT (1053498.229 7391358.026),0.0,0.0,Unoccupied,1
2145,POINT (1133903.231 7310560.047),0.0,0.0,Unoccupied,1
2148,POINT (1380348.417 7316834.21),784.5144413015337,0.0003029027191942431,Rural,2
2156,POINT (1191854.361 7307851.765),0.0,0.0,Unoccupied,1
2162,POINT (1103559.055 7276328.415),0.0,0.0,Unoccupied,1
2166,POINT (972057.02 7529494.777),0.0,0.0,Unoccupied,1
2171,POINT (1199208.621 7449181.56),0.0,0.0,Unoccupied,1
2175,POINT (1403259.027 7394990.4),0.0,0.0,Unoccupied,1
2181,POINT (1287117.004 7389406.529),0.0,0.0,Unoccupied,1
2188,POINT (1137378.362 7259321.083),0.0,0.0,Unoccupied,1
2192,POINT (1403090.971 7341341.362),0.0,0.0,Unoccupied,1
2196,POINT (1078478.754 7467377.041),0.0,0.0,Unoccupied,1
2202,POINT (990432.2235 7433271.869),0.0,0.0,Unoccupied,1
2209,POINT (1268202.871 7312102.757),0.0,0.0,Unoccupied,1
2212,POINT (1127950.378 7527074.961),4622.421687441275,0.001784726991214491,Slightly Rural,3
2213,POINT (1416862.632 7352480.784),1141.1196909498801,0.0004405887758310374,Rural,2
2219,POINT (1212116.816 7369423.353),0.0,0.0,Unoccupied,1
2229,POINT (1275756.87 7360965.477),0.0,0.0,Unoccupied,1
2231,POINT (1025303.465 7505634.191),100.91832388335462,3.896478268784888e-05,Unoccupied,1
2250,POINT (1374971.84 7370126.086),0.0,0.0,Unoccupied,1
2274,POINT (1423998.37 7272487.334),0.0,0.0,Unoccupied,1
2277,POINT (1211209.31 7371960.613),0.0,0.0,Unoccupied,1
2279,POINT (1267411.803 7372786.29),0.0,0.0,Unoccupied,1
2286,POINT (1087911.507 7353988.9),0.0,0.0,Unoccupied,1
2304,POINT (1242951.618 7412168.5),0.0,0.0,Unoccupied,1
2307,POINT (1139338.148 7356923.459),0.0,0.0,Unoccupied,1
2325,POINT (1062730.257 7516802.757),0.0,0.0,Unoccupied,1
2333,POINT (1106536.11 7276876.608),0.0,0.0,Unoccupied,1
2342,POINT (1009691.977 7548024.908),19941.589172516356,0.007699490624275231,Suburban,4
2353,POINT (1290522.302 7374464.762),0.0,0.0,Unoccupied,1
2356,POINT (1432010.055 7347466.272),0.0,0.0,Unoccupied,1
2367,POINT (1412749.712 7397599.741),0.0,0.0,Unoccupied,1
2380,POINT (1256491.212 7331446.618),0.0,0.0,Unoccupied,1
2410,POINT (1178101.773 7290927.46),0.0,0.0,Unoccupied,1
2415,POINT (1268808.295 7407192.859),0.0,0.0,Unoccupied,1
2418,POINT (1343939.402 7297018.919),0.0,0.0,Unoccupied,1
2422,POINT (1417770.687 7383991.856),0.0,0.0,Unoccupied,1
2423,POINT (1119582.757 7368294.917),0.0,0.0,Unoccupied,1
2428,POINT (1019776.285 7469813.83),0.0,0.0,Unoccupied,1
2439,POINT (969278.6903 7491630.3),0.0,0.0,Unoccupied,1
2452,POINT (1134117.557 7362645.531),0.0,0.0,Unoccupied,1
2454,POINT (1044862.209 7384647.076),0.0,0.0,Unoccupied,1
2458,POINT (1391929.306 7351146.372),0.0,0.0,Unoccupied,1
2468,POINT (1183938.112 7279403.922),422.8844143909647,0.00016327658521030961,Rural,2
2493,POINT (1212490.977 7341202.544),0.0,0.0,Unoccupied,1
2502,POINT (1405487.876 7256894.185),0.0,0.0,Unoccupied,1
2506,POINT (1132446.741 7361019.604),0.0,0.0,Unoccupied,1
2513,POINT (1152775.816 7410216.723),0.0,0.0,Unoccupied,1
2523,POINT (1058738.81 7330348.908),0.0,0.0,Unoccupied,1
2527,POINT (1078487.5 7289475.62),0.0,0.0,Unoccupied,1
2548,POINT (1141342.409 7239278.511),0.0,0.0,Unoccupied,1
2554,POINT (1050596.861 7509088.021),0.0,0.0,Unoccupied,1
2555,POINT (1225186.757 7285802.325),0.0,0.0,Unoccupied,1
2557,POINT (1367257.691 7319711.666),0.0,0.0,Unoccupied,1
2561,POINT (1439356.265 7292775.538),0.0,0.0,Unoccupied,1
2569,POINT (1045191.332 7463048.826),59.94988066675258,2.3146778329795212e-05,Unoccupied,1
2572,POINT (1195970.288 7325129.378),0.0,0.0,Unoccupied,1
2574,POINT (1233452.891 7315355.061),0.0,0.0,Unoccupied,1
2591,POINT (1174464.2 7395970.109),0.0,0.0,Unoccupied,1
2593,POINT (1175772.068 7245107.086),325.43165152850725,0.0001256498631131897,Rural,2
2605,POINT (960072.3451 7478062.685),0.0,0.0,Unoccupied,1
2636,POINT (1394994.674 7359947.158),0.0,0.0,Unoccupied,1
2652,POINT (1403974.533 7306855.968),157.52277829144685,6.081988471793076e-05,Unoccupied,1
2657,POINT (1278734.798 7376250.208),0.0,0.0,Unoccupied,1
2661,POINT (1130750.285 7253060.13),517.1350079214162,0.00019966694281632364,Rural,2
2662,POINT (1354068.522 7367793.355),0.0,0.0,Unoccupied,1
2677,POINT (1112838.031 7376854.695),0.0,0.0,Unoccupied,1
2680,POINT (1047880.409 7463102.35),0.0,0.0,Unoccupied,1
2684,POINT (1114797.787 7509486.65),0.0,0.0,Unoccupied,1
2692,POINT (1209558.186 7528126.038),17995.877032488774,0.00694824696710834,Suburban,4
2698,POINT (1130454.388 7385053.501),9615.075708359775,0.0037124014855467453,Slightly Rural,3
2699,POINT (1390072.745 7389763.979),1153.3195528750355,0.0004452991688542597,Rural,2
2701,POINT (977546.7244 7519180.685),0.0,0.0,Unoccupied,1
2718,POINT (1393904.818 7272797.852),0.0,0.0,Unoccupied,1
2745,POINT (1191560.867 7440682.202),0.0,0.0,Unoccupied,1
2747,POINT (1003651.513 7429840.812),0.0,0.0,Unoccupied,1
2755,POINT (1113953.783 7494819.081),0.0,0.0,Unoccupied,1
2759,POINT (1236148.776 7409334.641),0.0,0.0,Unoccupied,1
2770,POINT (1052726.01 7511131.754),0.0,0.0,Unoccupied,1
2772,POINT (1203191.903 7271389.905),0.0,0.0,Unoccupied,1
2780,POINT (1203305.685 7243892.95),0.0,0.0,Unoccupied,1
2781,POINT (1394321.23 7292838.95),211.94883515544598,8.183390275407471e-05,Unoccupied,1
2782,POINT (1047696.469 7497269.127),0.0,0.0,Unoccupied,1
2783,POINT (1110282.964 7481626.39),0.0,0.0,Unoccupied,1
2788,POINT (1014874.998 7441473.652),142.79525126753782,5.513355474400728e-05,Unoccupied,1
2802,POINT (1383155.454 7318581.408),0.0,0.0,Unoccupied,1
2805,POINT (1211618.177 7352202.357),0.0,0.0,Unoccupied,1
2809,POINT (1068868.523 7491930.028),0.0,0.0,Unoccupied,1
2815,POINT (1173622.235 7317039.827),0.0,0.0,Unoccupied,1
2821,POINT (1146887.22 7251434.057),67.88546917829726,2.621072618340725e-05,Unoccupied,1
2823,POINT (1053755.82 7317565.166),0.0,0.0,Unoccupied,1
2828,POINT (1278126.747 7333387.298),0.0,0.0,Unoccupied,1
2839,POINT (1422679.704 7319486.531),89.37532252263546,3.450800494641683e-05,Unoccupied,1
2840,POINT (1102602.278 7528312.73),0.0,0.0,Unoccupied,1
2841,POINT (1400952.057 7411472.196),0.0,0.0,Unoccupied,1
2848,POINT (962664.7484 7499371.39),0.0,0.0,Unoccupied,1
2850,POINT (1206077.674 7304324.166),0.0,0.0,Unoccupied,1
2855,POINT (1417757.746 7280852.708),0.0,0.0,Unoccupied,1
2866,POINT (1135570.455 7515955.71),0.0,0.0,Unoccupied,1
2880,POINT (1089109.625 7345650.871),0.0,0.0,Unoccupied,1
2882,POINT (980337.7889 7488068.307),56.25642613166407,2.1720727561319153e-05,Unoccupied,1
2885,POINT (1023591.374 7539272.245),0.0,0.0,Unoccupied,1
2890,POINT (1028876.575 7545940.951),0.0,0.0,Unoccupied,1
2894,POINT (1010966.479 7488672.671),0.0,0.0,Unoccupied,1
2897,POINT (1382017.292 7340970.033),0.0,0.0,Unoccupied,1
2902,POINT (1164451.227 7387193.704),0.0,0.0,Unoccupied,1
2912,POINT (1048892.535 7419564.422),0.0,0.0,Unoccupied,1
2913,POINT (1185200.618 7348539.107),0.0,0.0,Unoccupied,1
2918,POINT (1308657.805 7335958.544),0.0,0.0,Unoccupied,1
2922,POINT (1428140.153 7325970.315),0.0,0.0,Unoccupied,1
2924,POINT (1082005.223 7429891.584),0.0,0.0,Unoccupied,1
2934,POINT (1194880.585 7506301.403),0.0,0.0,Unoccupied,1
2945,POINT (1128246.663 7278777.862),0.0,0.0,Unoccupied,1
2947,POINT (1369937.466 7325953.879),0.0,0.0,Unoccupied,1
2954,POINT (1186458.012 7248276.82),0.0,0.0,Unoccupied,1
2966,POINT (1055675.586 7383660.054),69.48703581097496,2.6829094517333664e-05,Unoccupied,1
3002,POINT (1417615.993 7328762.692),34.592207574498005,1.3356126013262024e-05,Unoccupied,1
