sample_id,building_count,building_area_m2,coverage_fraction,total_ee_mj,total_ec_kgco2e,avg_eei_mj_m2,avg_eci_kgco2e_m2
2387,0,0.0,0.0,0.0,0.0,0.0,0.0
2388,0,0.0,0.0,0.0,0.0,0.0,0.0
2389,0,0.0,0.0,0.0,0.0,0.0,0.0
2390,0,0.0,0.0,0.0,0.0,0.0,0.0
2391,0,0.0,0.0,0.0,0.0,0.0,0.0
2392,44,9422.057073793832,0.0036378765741019196,47110285.36896918,2458657.3699602573,5000.000000000002,260.94698330778294
2393,0,0.0,0.0,0.0,0.0,0.0,0.0
2394,0,0.0,0.0,0.0,0.0,0.0,0.0
2395,0,0.0,0.0,0.0,0.0,0.0,0.0
2396,12,2937.7353888156376,0.001134265974848249,14688676.94407819,714686.3370769701,5000.000000000001,243.2779820122259
2397,68,11504.115031024912,0.004441763645599315,57520575.15512455,2663168.068618673,4999.999999999999,231.49699576512396
2398,0,0.0,0.0,0.0,0.0,0.0,0.0
2399,0,0.0,0.0,0.0,0.0,0.0,0.0
2400,0,0.0,0.0,0.0,0.0,0.0,0.0
2401,0,0.0,0.0,0.0,0.0,0.0,0.0
2402,0,0.0,0.0,0.0,0.0,0.0,0.0
2403,0,0.0,0.0,0.0,0.0,0.0,0.0
2404,0,0.0,0.0,0.0,0.0,0.0,0.0
2405,0,0.0,0.0,0.0,0.0,0.0,0.0
2406,4,834.390688202833,0.0003221600457828307,4171953.4410141646,250317.20646084988,5000.0,300.0
2407,0,0.0,0.0,0.0,0.0,0.0,0.0
2408,0,0.0,0.0,0.0,0.0,0.0,0.0
2409,0,0.0,0.0,0.0,0.0,0.0,0.0
2410,0,0.0,0.0,0.0,0.0,0.0,0.0
2411,13,1848.5418409412582,0.0007137259949434463,9242709.20470629,465696.3622342239,5000.0,251.92633021338386
2412,0,0.0,0.0,0.0,0.0,0.0,0.0
2413,0,0.0,0.0,0.0,0.0,0.0,0.0
2414,0,0.0,0.0,0.0,0.0,0.0,0.0
2415,0,0.0,0.0,0.0,0.0,0.0,0.0
2416,0,0.0,0.0,0.0,0.0,0.0,0.0
2417,0,0.0,0.0,0.0,0.0,0.0,0.0
2418,0,0.0,0.0,0.0,0.0,0.0,0.0
2419,0,0.0,0.0,0.0,0.0,0.0,0.0
2420,0,0.0,0.0,0.0,0.0,0.0,0.0
2421,0,0.0,0.0,0.0,0.0,0.0,0.0
2422,2,186.97015862990975,7.218958183003166e-05,934850.7931495487,56091.04758897293,5000.0,300.0
2423,0,0.0,0.0,0.0,0.0,0.0,0.0
2424,0,0.0,0.0,0.0,0.0,0.0,0.0
2425,0,0.0,0.0,0.0,0.0,0.0,0.0
2426,0,0.0,0.0,0.0,0.0,0.0,0.0
2427,0,0.0,0.0,0.0,0.0,0.0,0.0
2428,0,0.0,0.0,0.0,0.0,0.0,0.0
2429,0,0.0,0.0,0.0,0.0,0.0,0.0
2430,0,0.0,0.0,0.0,0.0,0.0,0.0
2431,0,0.0,0.0,0.0,0.0,0.0,0.0
2432,0,0.0,0.0,0.0,0.0,0.0,0.0
2433,0,0.0,0.0,0.0,0.0,0.0,0.0
2434,0,0.0,0.0,0.0,0.0,0.0,0.0
2435,0,0.0,0.0,0.0,0.0,0.0,0.0
2436,0,0.0,0.0,0.0,0.0,0.0,0.0
